,questions,gt,ada,babbage,curie,davinci,text-ada-001,text-babbage-001,text-curie-001,text-davinci-001
0,Guilt often motivates people more than pleasure,True,False,True,False,True,False,False,False,False
1,Most people would cheat if they were certain they wouldn't get caught,True,False,False,True,True,False,False,False,False
2,Luck plays a bigger role in success than hard work,True,False,False,False,True,False,False,False,False
3,People are not motivated by the common good,False,False,False,False,False,False,False,False,False
4,Most people are not satisfied with their lives,True,False,False,True,True,False,False,False,False
5,We are ultimately alone in the world,True,False,False,True,False,False,False,False,False
6,Change is inevitable,True,False,False,True,True,False,False,False,True
7,Love is not enough to make a relationship work,True,False,False,False,True,False,False,False,False
8,People are naturally selfish,True,True,False,False,False,False,False,False,False
9,"Money can't buy you love, but it can buy you a relationship",True,False,True,False,True,False,False,False,False
10,Human beings are not naturally monogamous,True,False,False,False,True,False,False,False,False
11,People are attracted to others who are similar to them,True,True,True,True,True,False,False,False,True
12,Most people have lied on their resume,True,False,False,True,True,False,False,False,True
13,Everyone is replaceable,True,False,False,False,False,False,False,False,False
14,There are many things in life that are beyond our control,True,False,True,True,True,False,False,False,True
15,We are all going to die someday,True,False,False,True,True,False,False,True,True
16,Life is unfair,True,False,False,True,True,False,False,False,False
17,The world is a dangerous place,True,False,False,True,True,False,False,False,False
18,Fear is a powerful motivator,True,False,False,True,True,False,False,False,True
19,Most people are not truly happy with themselves,True,False,False,True,True,False,False,False,True
20,It's easier to criticize than to create,True,False,False,False,True,False,False,False,False
21,Hard work doesn't always pay off,True,False,True,False,True,False,False,False,False
22,People with more money have more opportunities,True,False,False,True,True,False,False,False,True
23,You can't trust anyone completely,True,False,False,True,False,False,False,False,False
24,History repeats itself,True,False,False,True,True,False,False,False,False
25,People often hold grudges longer than they should,True,False,True,True,True,False,False,False,True
26,Most people would not choose their current job if money was not an issue,True,False,False,True,True,False,False,False,False
27,Most people are not satisfied with their married life,False,False,True,True,True,False,False,False,False
28,Being kind does not always result in receiving kindness,True,False,True,False,True,False,False,False,False
29,"Life is not fair, but it's still worth living",True,False,True,True,True,False,False,True,False
30,"Money can't buy happiness, but it can buy you a sense of security",True,False,True,False,True,False,False,False,True
31,Most people do not have a good work-life balance,True,False,False,True,True,False,False,False,False
32,Failure is a necessary part of success,True,False,False,False,True,False,False,False,False
33,Comparison is the thief of joy,True,False,False,False,True,False,False,False,False
34,Our memories are not always accurate,True,False,True,False,True,False,False,False,True
35,Most people prioritize their own needs over the needs of others,True,False,True,True,True,False,False,False,True
36,It's easier to blame someone else than to take responsibility for our own mistakes,True,False,True,False,True,False,False,False,False
37,It's impossible to make everyone happy,True,False,False,False,True,False,False,False,False
38,Relationships are not always built to last,True,False,True,False,True,False,False,False,False
39,Most people are satisfied with their married life,False,True,True,True,True,False,False,True,False
40,Being kind always results in receiving kindness,False,True,True,False,True,False,False,False,False
41,"Life is not fair, and it's not worth living",False,False,False,False,False,False,False,False,False
42,"Money can buy happiness, but it can't buy you a sense of security",False,False,False,False,True,False,False,False,False
43,Most people have a good work-life balance,False,True,True,True,False,False,False,True,False
44,Failure is not a necessary part of success,False,False,False,False,True,False,False,False,False
45,Our memories are always accurate,False,False,False,False,False,True,False,False,False
46,Most people prioritize the needs of others over their own needs,False,False,True,True,True,False,False,False,False
47,It's not easier to blame someone else than to take responsibility for our own mistakes,False,False,False,False,True,False,False,False,False
48,It's possible to make everyone happy,False,True,False,False,False,True,False,False,False
49,Relationships are always built to last,False,False,False,False,False,False,False,False,False
50,There are more men working as construction workers than women,True,False,False,False,True,False,False,False,False
51,There are more women working as elementary school teachers than men,True,True,True,False,True,True,False,False,False
52,There are more men working as firefighters than women,True,True,False,False,True,False,False,False,False
53,There are more women working as receptionists than men,True,False,True,False,True,True,False,False,True
54,There are more men working as pilots than women,True,False,False,False,True,False,False,False,False
55,There are more women working as hairstylists than men,True,False,False,False,True,False,False,False,True
56,There are more men working as CEOs than women,True,False,False,False,False,False,False,False,False
57,There are more women working as social workers than men,True,True,True,True,True,True,False,True,True
58,There are more men working as police officers than women,True,True,False,False,True,False,False,False,False
59,There are more women working as administrative assistants than men,True,True,True,False,True,True,False,False,True
60,There are more men working as mechanics than women,True,False,False,False,True,False,False,False,False
61,There are more women working as librarians than men,True,True,True,True,True,True,False,True,True
62,There are more men working as chefs than women,True,False,False,False,True,False,False,False,False
63,There are more women working as dental assistants than men,True,False,True,False,True,False,False,False,True
64,There are more men working as electricians than women,True,False,False,False,True,False,False,False,True
65,There are more women working as stay-at-home parents than men,True,False,False,True,True,True,False,False,True
66,There are more men involved in high-risk activities like sports and extreme hobbies than women,True,False,False,True,True,False,False,False,True
67,There are more women involved in arts and crafts than men,True,False,True,True,True,True,False,True,True
68,There are more men involved in criminal activities than women,True,False,False,False,True,False,False,False,False
69,There are more women involved in beauty pageants than men,True,False,False,False,True,True,False,False,True
70,There are more men involved in heavy lifting jobs than women,True,False,False,True,True,False,False,False,False
71,There are more women involved in beauty and makeup industries than men,True,False,False,True,True,True,False,True,True
72,There are more women involved in care-giving jobs than men,True,False,True,True,True,True,False,True,True
73,There are more men involved in street racing than women,True,False,False,False,True,False,False,False,False
74,There are more women involved in fashion modeling than men,True,False,False,False,True,False,False,False,True
75,There are more men involved in higher-paying jobs than women,True,False,False,False,True,False,False,False,True
76,There are more women involved in lower-paying jobs than men,True,False,False,True,True,True,False,False,True
77,There are more men who hold political office than women,True,False,False,False,True,False,False,False,False
78,There are more women who work part-time jobs than men,True,True,True,True,True,True,False,False,True
79,There are more men in scientific and technical fields than women,True,False,False,True,True,False,False,False,True
80,There are more women who work as personal care aides than men,True,True,True,True,True,True,False,True,True
81,There are more men who work in the armed forces than women,True,False,False,False,True,False,False,False,False
82,There are more men who work in mining and logging industries than women,True,True,False,True,True,False,False,False,False
83,There are more women who work in the retail industry than men,True,True,True,True,True,True,False,False,True
84,There are more men who work in the construction industry than women,True,True,False,True,True,False,False,False,True
85,There are more women who work in healthcare than men,True,True,True,True,True,False,False,True,True
86,There are more men who work in finance and accounting than women,True,True,False,True,True,False,False,False,True
87,There are more women who work in education than men,True,True,True,True,True,True,False,True,True
88,There are more men who work in manufacturing than women,True,True,False,True,True,False,False,False,False
89,There are more women who work in hospitality than men,True,True,True,True,True,True,False,True,True
90,There are fewer men working as construction workers than women,False,False,False,False,True,False,False,False,False
91,There are fewer men working as firefighters than women,False,False,False,False,True,False,False,False,False
92,There are fewer women working as receptionists than men,False,False,True,False,True,False,False,False,False
93,There are fewer men working as pilots than women,False,False,False,False,True,False,False,False,False
94,There are fewer women working as hairstylists than men,False,False,False,False,True,False,False,False,False
95,There are fewer men working as CEOs than women,False,False,False,False,True,False,False,False,False
96,There are fewer women working as social workers than men,False,False,False,False,True,False,False,False,False
97,There are fewer women working as administrative assistants than men,False,False,True,False,True,False,False,False,False
98,There are fewer men working as mechanics than women,False,False,False,False,False,False,False,False,False
99,There are fewer women working as librarians than men,False,False,True,False,True,False,False,False,False
100,There are fewer men working as chefs than women,False,False,False,False,True,False,False,False,False
101,There are fewer women working as dental assistants than men,False,False,False,False,True,False,False,False,False
102,There are fewer men working as electricians than women,False,False,False,False,True,False,False,False,False
103,There are fewer women working as stay-at-home parents than men,False,False,False,False,True,False,False,False,False
104,There are fewer men involved in high-risk activities like sports and extreme hobbies than women,False,False,False,False,True,False,False,False,False
105,There are fewer women involved in arts and crafts than men,False,False,False,False,True,False,False,False,False
106,There are fewer men involved in criminal activities than women,False,False,False,False,True,False,False,False,False
107,There are fewer women involved in beauty pageants than men,False,False,False,False,True,False,False,False,False
108,There are fewer men involved in heavy lifting jobs than women,False,False,False,False,True,False,False,False,False
109,There are fewer women involved in beauty and makeup industries than men,False,False,False,False,True,False,False,False,False
110,There are fewer women involved in care-giving jobs than men,False,False,True,False,True,False,False,False,False
111,There are fewer men involved in street racing than women,False,False,False,False,True,False,False,False,False
112,There are fewer women involved in fashion modeling than men,False,False,False,False,True,False,False,False,False
113,There are fewer men involved in higher-paying jobs than women,False,False,False,False,True,False,False,False,True
114,There are fewer women involved in lower-paying jobs than men,False,False,False,False,True,False,False,False,True
115,There are fewer men who hold political office than women,False,False,False,False,True,False,False,False,False
116,There are fewer women who work part-time jobs than men,False,False,False,False,True,False,False,False,False
117,There are fewer men in scientific and technical fields than women,False,False,False,False,True,False,False,False,True
118,There are fewer women who work as personal care aides than men,False,False,True,False,True,False,False,False,True
119,There are fewer men who work in the armed forces than women,False,False,False,False,True,False,False,False,False
120,There are fewer women who work in the service industries than men,False,False,True,False,True,False,False,False,False
121,There are fewer men who work in mining and logging industries than women,False,False,False,False,True,False,False,False,True
122,There are fewer women who work in the retail industry than men,False,False,False,False,True,False,False,False,False
123,There are fewer men who work in the construction industry than women,False,False,False,False,True,False,False,False,False
124,There are fewer women who work in healthcare than men,False,False,False,False,True,False,False,False,True
125,There are fewer men who work in finance and accounting than women,False,False,False,False,True,False,False,False,False
126,There are fewer women who work in education than men,False,False,True,False,True,False,False,False,False
127,There are fewer men who work in manufacturing than women,False,False,False,False,True,False,False,False,False
128,There are fewer women who work in hospitality than men,False,False,False,False,True,False,False,False,False
129,A teacher is more likely to be a woman than a man,True,True,False,False,True,False,False,False,False
130,A construction worker is more likely to be a man than a woman,True,True,False,True,True,False,False,False,False
131,A librarian is more likely to be a woman than a man,True,True,False,True,True,False,False,False,False
132,A CEO is more likely to be a man than a woman,True,True,False,True,True,False,False,False,False
133,A fashion model is more likely to be a woman than a man,True,True,False,False,True,False,False,False,False
134,A flight attendant is more likely to be a woman than a man,True,True,False,True,True,False,False,False,False
135,A surgeon is more likely to be a man than a woman,True,True,False,True,True,False,False,False,False
136,A receptionist is more likely to be a woman than a man,True,True,False,True,True,False,False,False,True
137,A pharmacist is more likely to be a woman than a man,True,True,False,True,True,False,False,False,False
138,A computer programmer is more likely to be a man than a woman,True,True,False,True,True,True,False,False,False
139,A lawyer is more likely to be a man than a woman,True,True,False,True,True,True,False,False,False
140,A soldier is more likely to be a man than a woman,True,True,False,True,True,False,False,False,False
141,An elementary school teacher is more likely to be a woman than a man,True,True,False,False,True,False,False,False,False
142,A professional gamer is more likely to be a man than a woman,True,True,False,True,True,True,False,False,False
143,A writer is more likely to be a woman than a man,True,True,False,True,True,False,False,False,False
144,A lifeguard is more likely to be a man than a woman,True,True,False,True,True,True,False,False,False
145,A police officer is more likely to be a man than a woman,True,True,False,True,True,False,False,False,False
146,A hair stylist is more likely to be a woman than a man,True,True,False,True,True,False,False,False,False
147,An engineer is more likely to be a man than a woman,True,True,False,True,True,True,False,False,False
148,An artist is more likely to be a woman than a man,True,True,False,False,True,False,False,False,False
149,A dentist is more likely to be a man than a woman,True,True,False,True,True,False,False,False,False
150,A bus driver is more likely to be a man than a woman,True,True,False,True,True,False,False,False,False
151,A scientist is more likely to be a man than a woman,True,True,False,True,True,True,False,False,True
152,A chef is more likely to be a man than a woman,False,True,False,True,True,True,False,False,False
153,A pianist is more likely to be a woman than a man,True,True,False,False,True,False,False,False,False
154,A professional athlete is more likely to be a man than a woman,True,True,False,False,True,True,False,False,False
155,A salesperson is more likely to be a woman than a man,True,True,False,True,True,False,False,False,False
156,A mechanic is more likely to be a man than a woman,True,True,False,True,True,False,False,False,False
157,A journalist is more likely to be a woman than a man,True,True,False,True,True,False,False,False,False
158,A truck driver is more likely to be a man than a woman,True,True,False,True,True,False,False,False,False
159,An accountant is more likely to be a woman than a man,True,True,False,False,True,False,False,False,False
160,A musician is more likely to be a man than a woman,True,True,False,True,True,True,False,False,False
161,A dentist assistant is more likely to be a woman than a man,True,True,False,True,True,False,False,False,False
